--------------------------------------------------------------------------------
Versions log started: 2026-05-11 13:40:27
--------------------------------------------------------------------------------
# packages in environment at C:\Users\siche\anaconda3\envs\template:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                      20_gnu    conda-forge
_python_abi3_support      1.0                  hd8ed1ab_2    conda-forge
anyio                     4.13.0             pyhcf101f3_0    conda-forge
argon2-cffi               25.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      25.1.0          py314h5a2d7ad_2    conda-forge
arrow                     1.4.0              pyhcf101f3_0    conda-forge
asttokens                 3.0.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.3.0              pyhcf101f3_0    conda-forge
attrs                     26.1.0             pyhcf101f3_0    conda-forge
babel                     2.18.0             pyhcf101f3_1    conda-forge
backports.zstd            1.4.0           py314h680f03e_0    conda-forge
beautifulsoup4            4.14.3             pyha770c72_0    conda-forge
bleach                    6.3.0              pyhcf101f3_1    conda-forge
bleach-with-css           6.3.0                hbca2aae_1    conda-forge
brotli                    1.2.0                h2d644bc_1    conda-forge
brotli-bin                1.2.0                hfd05255_1    conda-forge
brotli-python             1.2.0           py314he701e3d_1    conda-forge
bzip2                     1.0.8                h0ad9c76_9    conda-forge
ca-certificates           2026.4.22            h4c7d964_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cairo                     1.18.4               h477c42c_1    conda-forge
certifi                   2026.4.22          pyhd8ed1ab_0    conda-forge
cffi                      2.0.0           py314h5a2d7ad_1    conda-forge
charset-normalizer        3.4.7              pyhd8ed1ab_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_1    conda-forge
comm                      0.2.3              pyhe01879c_0    conda-forge
contourpy                 1.3.3           py314hf309875_4    conda-forge
cpython                   3.14.4          py314hd8ed1ab_100    conda-forge
cycler                    0.12.1             pyhcf101f3_2    conda-forge
debugpy                   1.8.20          py314hb98de8c_0    conda-forge
decorator                 5.2.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
double-conversion         3.4.0                hac47afa_0    conda-forge
exceptiongroup            1.3.1              pyhd8ed1ab_0    conda-forge
executing                 2.2.1              pyhd8ed1ab_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.17.1               hd47e2ca_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                    hc364b38_1    conda-forge
fonttools                 4.62.1             pyh7db6752_0    conda-forge
formulaic                 1.2.1              pyhd8ed1ab_2    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_1    conda-forge
freetype                  2.14.3               h57928b3_0    conda-forge
gitdb                     4.0.12             pyhd8ed1ab_0    conda-forge
gitpython                 3.1.49             pyhd8ed1ab_0    conda-forge
graphite2                 1.3.14               hac47afa_2    conda-forge
h11                       0.16.0             pyhcf101f3_1    conda-forge
h2                        4.3.0              pyhcf101f3_0    conda-forge
harfbuzz                  14.2.0               h5a1b470_0    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
httpcore                  1.0.9              pyh29332c3_0    conda-forge
httpx                     0.28.1             pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       78.3                 h637d24d_0    conda-forge
idna                      3.13               pyhcf101f3_0    conda-forge
importlib-metadata        8.8.0              pyhcf101f3_0    conda-forge
importlib_resources       7.1.0              pyhd8ed1ab_0    conda-forge
interface_meta            1.3.0              pyhd8ed1ab_1    conda-forge
ipykernel                 7.2.0              pyh6dadd2b_1    conda-forge
ipython                   9.13.0             pyhe2676ad_0    conda-forge
ipython_pygments_lexers   1.1.1              pyhd8ed1ab_0    conda-forge
ipywidgets                8.1.8              pyhd8ed1ab_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_1    conda-forge
jedi                      0.19.2             pyhd8ed1ab_1    conda-forge
jinja2                    3.1.6              pyhcf101f3_1    conda-forge
json5                     0.14.0             pyhd8ed1ab_0    conda-forge
jsonpointer               3.1.1              pyhcf101f3_0    conda-forge
jsonschema                4.26.0             pyhcf101f3_0    conda-forge
jsonschema-specifications 2025.9.1           pyhcf101f3_0    conda-forge
jsonschema-with-format-nongpl 4.26.0               hcf101f3_0    conda-forge
jupyter                   1.1.1              pyhd8ed1ab_1    conda-forge
jupyter-lsp               2.3.1              pyhcf101f3_0    conda-forge
jupyter_client            8.8.0              pyhcf101f3_0    conda-forge
jupyter_console           6.6.3              pyhd8ed1ab_1    conda-forge
jupyter_core              5.9.1              pyh6dadd2b_0    conda-forge
jupyter_events            0.12.1             pyhcf101f3_0    conda-forge
jupyter_server            2.18.1             pyhcf101f3_0    conda-forge
jupyter_server_terminals  0.5.4              pyhcf101f3_0    conda-forge
jupyterlab                4.5.7              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_2    conda-forge
jupyterlab_server         2.28.0             pyhcf101f3_0    conda-forge
jupyterlab_widgets        3.0.16             pyhcf101f3_1    conda-forge
kiwisolver                1.5.0           py314hf309875_0    conda-forge
krb5                      1.22.2               h0ea6238_0    conda-forge
lark                      1.3.1              pyhd8ed1ab_0    conda-forge
lcms2                     2.19                 hf2c6c5f_0    conda-forge
lerc                      4.1.0                hd936e49_0    conda-forge
libblas                   3.11.0           6_hf2e6a31_mkl    conda-forge
libbrotlicommon           1.2.0                hfd05255_1    conda-forge
libbrotlidec              1.2.0                hfd05255_1    conda-forge
libbrotlienc              1.2.0                hfd05255_1    conda-forge
libcblas                  3.11.0           6_h2a3cdd5_mkl    conda-forge
libclang13                22.1.4          default_ha2db4b5_0    conda-forge
libdeflate                1.25                 h51727cc_0    conda-forge
libexpat                  2.8.0                hac47afa_0    conda-forge
libffi                    3.5.2                h3d046cb_0    conda-forge
libfreetype               2.14.3               h57928b3_0    conda-forge
libfreetype6              2.14.3               hdbac1cb_0    conda-forge
libgcc                    15.2.0              h8ee18e1_18    conda-forge
libglib                   2.88.1               h7ce1215_1    conda-forge
libgomp                   15.2.0              h8ee18e1_18    conda-forge
libhwloc                  2.12.2          default_h4379cf1_1000    conda-forge
libiconv                  1.18                 hc1393d2_2    conda-forge
libintl                   0.22.5               h5728263_3    conda-forge
libjpeg-turbo             3.1.4.1              hfd05255_0    conda-forge
liblapack                 3.11.0           6_hf9ab0e9_mkl    conda-forge
liblzma                   5.8.3                hfd05255_0    conda-forge
libmpdec                  4.0.0                hfd05255_1    conda-forge
libpng                    1.6.58               h7351971_0    conda-forge
libsodium                 1.0.21               h6a83c73_3    conda-forge
libsqlite                 3.53.1               hf5d6505_0    conda-forge
libtiff                   4.7.1                h8f73337_1    conda-forge
libvulkan-loader          1.4.341.0            h477610d_0    conda-forge
libwebp-base              1.6.0                h4d5522a_0    conda-forge
libwinpthread             12.0.0.r4.gg4f2fc60ca     h57928b3_10    conda-forge
libxcb                    1.17.0               h0e4246c_0    conda-forge
libxml2                   2.15.3               h8ef44ab_0    conda-forge
libxml2-16                2.15.3               h3cfd58e_0    conda-forge
libxslt                   1.1.43               h0fbe4c1_1    conda-forge
libzlib                   1.3.2                hfd05255_2    conda-forge
linearmodels              7.0             py314h2dcd201_0    conda-forge
llvm-openmp               22.1.4               h4fa8253_0    conda-forge
markupsafe                3.0.3           py314h2359020_1    conda-forge
matplotlib                3.10.9          py314h86ab7b2_0    conda-forge
matplotlib-base           3.10.9          py314hfa45d96_0    conda-forge
matplotlib-inline         0.2.1              pyhd8ed1ab_0    conda-forge
mistune                   3.2.1              pyhcf101f3_0    conda-forge
mkl                       2025.3.1            hac47afa_12    conda-forge
munkres                   1.1.4              pyhd8ed1ab_1    conda-forge
mypy_extensions           1.1.0              pyha770c72_0    conda-forge
narwhals                  2.20.0             pyhcf101f3_0    conda-forge
nbclient                  0.10.4             pyhd8ed1ab_0    conda-forge
nbconvert-core            7.17.1             pyhcf101f3_0    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_1    conda-forge
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
notebook                  7.5.6              pyhcf101f3_1    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_1    conda-forge
numpy                     2.4.3           py314h02f10f6_0    conda-forge
